contour_chin.x,contour_chin.y,contour_left1.x,contour_left1.y,contour_left2.x,contour_left2.y,contour_left3.x,contour_left3.y,contour_left4.x,contour_left4.y,contour_left5.x,contour_left5.y,contour_left6.x,contour_left6.y,contour_left7.x,contour_left7.y,contour_left8.x,contour_left8.y,contour_left9.x,contour_left9.y,contour_right1.x,contour_right1.y,contour_right2.x,contour_right2.y,contour_right3.x,contour_right3.y,contour_right4.x,contour_right4.y,contour_right5.x,contour_right5.y,contour_right6.x,contour_right6.y,contour_right7.x,contour_right7.y,contour_right8.x,contour_right8.y,contour_right9.x,contour_right9.y,class
0.5,0.745454545,0,0,0,0.109090909,0,0.218181818,0.018181818,0.327272727,0.045454545,0.436363636,0.090909091,0.536363636,0.172727273,0.618181818,0.263636364,0.681818182,0.381818182,0.727272727,1,0,1.009090909,0.109090909,1,0.218181818,0.990909091,0.327272727,0.954545455,0.436363636,0.909090909,0.536363636,0.836363636,0.618181818,0.736363636,0.681818182,0.627272727,0.727272727,1
0.485436893,0.805825243,0,0,0,0.116504854,0.019417476,0.223300971,0.038834951,0.330097087,0.077669903,0.446601942,0.126213592,0.54368932,0.194174757,0.631067961,0.27184466,0.708737864,0.368932039,0.776699029,1,0.009708738,1,0.126213592,0.980582524,0.233009709,0.961165049,0.349514563,0.922330097,0.45631068,0.873786408,0.553398058,0.796116505,0.640776699,0.718446602,0.718446602,0.611650485,0.786407767,2
0.505263158,0.842105263,0,0,0,0.115789474,0.010526316,0.231578947,0.021052632,0.347368421,0.052631579,0.463157895,0.105263158,0.568421053,0.178947368,0.663157895,0.263157895,0.747368421,0.378947368,0.810526316,1,0.010526316,1,0.126315789,0.989473684,0.242105263,0.968421053,0.357894737,0.936842105,0.463157895,0.884210526,0.568421053,0.821052632,0.663157895,0.736842105,0.747368421,0.631578947,0.810526316,3
0.477707006,0.796178344,0,0,0,0.114649682,0.012738854,0.222929936,0.025477707,0.337579618,0.057324841,0.445859873,0.108280255,0.541401274,0.171974522,0.630573248,0.25477707,0.707006369,0.356687898,0.770700637,1,0.006369427,0.993630573,0.121019108,0.98089172,0.229299363,0.955414013,0.343949045,0.923566879,0.452229299,0.872611465,0.554140127,0.796178344,0.636942675,0.713375796,0.713375796,0.605095541,0.770700637,2
0.519607843,0.81372549,0,0,0,0.107843137,0.019607843,0.225490196,0.039215686,0.343137255,0.078431373,0.450980392,0.12745098,0.558823529,0.205882353,0.647058824,0.284313725,0.725490196,0.392156863,0.794117647,1,-0.009803922,1,0.107843137,0.980392157,0.215686275,0.960784314,0.333333333,0.931372549,0.441176471,0.882352941,0.539215686,0.81372549,0.637254902,0.735294118,0.725490196,0.647058824,0.784313725,2
0.494949495,0.797979798,0,0,-0.01010101,0.121212121,0,0.232323232,0.01010101,0.353535354,0.03030303,0.464646465,0.080808081,0.575757576,0.151515152,0.666666667,0.252525253,0.737373737,0.363636364,0.787878788,1,0.01010101,1,0.121212121,1,0.242424242,0.97979798,0.353535354,0.95959596,0.474747475,0.909090909,0.575757576,0.838383838,0.666666667,0.737373737,0.737373737,0.626262626,0.787878788,3
0.526315789,0.8,0,0,0.010526316,0.115789474,0.021052632,0.231578947,0.042105263,0.347368421,0.073684211,0.452631579,0.126315789,0.557894737,0.2,0.642105263,0.284210526,0.715789474,0.4,0.778947368,1,0,1,0.105263158,0.989473684,0.221052632,0.968421053,0.326315789,0.936842105,0.442105263,0.894736842,0.536842105,0.831578947,0.631578947,0.747368421,0.715789474,0.652631579,0.768421053,2
0.52,0.78,0,0,0.01,0.11,0.02,0.22,0.04,0.33,0.07,0.44,0.12,0.54,0.2,0.63,0.29,0.71,0.39,0.76,1,0,0.99,0.11,0.98,0.22,0.96,0.33,0.93,0.44,0.88,0.53,0.82,0.62,0.74,0.7,0.64,0.76,1
0.494949495,0.808080808,0,0,0,0.121212121,0.01010101,0.232323232,0.03030303,0.343434343,0.060606061,0.454545455,0.111111111,0.555555556,0.181818182,0.646464646,0.262626263,0.727272727,0.363636364,0.787878788,1,0.01010101,1,0.121212121,0.98989899,0.242424242,0.96969697,0.353535354,0.929292929,0.464646465,0.878787879,0.565656566,0.808080808,0.646464646,0.727272727,0.727272727,0.626262626,0.787878788,2
0.534883721,0.790697674,0,0,0,0.11627907,0.011627907,0.23255814,0.023255814,0.348837209,0.058139535,0.465116279,0.11627907,0.569767442,0.197674419,0.651162791,0.290697674,0.720930233,0.406976744,0.779069767,1,-0.011627907,1,0.104651163,0.988372093,0.209302326,0.976744186,0.325581395,0.953488372,0.441860465,0.906976744,0.534883721,0.837209302,0.627906977,0.755813953,0.709302326,0.651162791,0.76744186,2
