"contour_chin.x","contour_chin.y","contour_left1.x","contour_left1.y","contour_left2.x","contour_left2.y","contour_left3.x","contour_left3.y","contour_left4.x","contour_left4.y","contour_left5.x","contour_left5.y","contour_left6.x","contour_left6.y","contour_left7.x","contour_left7.y","contour_left8.x","contour_left8.y","contour_left9.x","contour_left9.y","contour_right1.x","contour_right1.y","contour_right2.x","contour_right2.y","contour_right3.x","contour_right3.y","contour_right4.x","contour_right4.y","contour_right5.x","contour_right5.y","contour_right6.x","contour_right6.y","contour_right7.x","contour_right7.y","contour_right8.x","contour_right8.y","contour_right9.x","contour_right9.y","class"
0.49,0.79,0,0,0,0.11,0.01,0.22,0.03,0.33,0.07,0.44,0.13,0.53,0.2,0.62,0.28,0.7,0.37,0.77,1,0,0.99,0.11,0.98,0.22,0.96,0.33,0.92,0.43,0.86,0.53,0.79,0.62,0.71,0.7,0.62,0.77,"a"
0.473684211,0.821052632,0,0,0,0.115789474,0.010526316,0.221052632,0.021052632,0.336842105,0.052631579,0.452631579,0.105263158,0.547368421,0.178947368,0.642105263,0.252631579,0.726315789,0.357894737,0.8,1,0,1,0.115789474,0.989473684,0.231578947,0.968421053,0.347368421,0.926315789,0.452631579,0.863157895,0.557894737,0.789473684,0.652631579,0.705263158,0.726315789,0.610526316,0.8,"a"
0.470588235,0.803921569,0,0,0,0.107843137,0.009803922,0.215686275,0.029411765,0.333333333,0.058823529,0.441176471,0.107843137,0.539215686,0.176470588,0.62745098,0.254901961,0.715686275,0.352941176,0.784313725,1,0,1,0.117647059,0.990196078,0.225490196,0.960784314,0.343137255,0.931372549,0.460784314,0.882352941,0.558823529,0.803921569,0.647058824,0.715686275,0.725490196,0.607843137,0.784313725,"a"
0.505747126,0.770114943,0,0,0,0.103448276,0.011494253,0.218390805,0.034482759,0.32183908,0.068965517,0.436781609,0.126436782,0.528735632,0.195402299,0.609195402,0.287356322,0.689655172,0.390804598,0.747126437,1,-0.011494253,1,0.103448276,0.988505747,0.218390805,0.965517241,0.32183908,0.931034483,0.425287356,0.885057471,0.528735632,0.816091954,0.609195402,0.724137931,0.689655172,0.632183908,0.747126437,"b"
0.480769231,0.788461538,0,0,0,0.115384615,0,0.221153846,0.019230769,0.336538462,0.048076923,0.451923077,0.096153846,0.548076923,0.163461538,0.644230769,0.25,0.711538462,0.355769231,0.769230769,1,0,1,0.115384615,1,0.230769231,0.980769231,0.346153846,0.951923077,0.461538462,0.894230769,0.567307692,0.817307692,0.653846154,0.721153846,0.721153846,0.615384615,0.769230769,"a"
0.510204082,0.734693878,0,0,0,0.102040816,0.010204082,0.204081633,0.040816327,0.316326531,0.071428571,0.418367347,0.132653061,0.510204082,0.204081633,0.591836735,0.285714286,0.663265306,0.387755102,0.714285714,1,-0.010204082,0.989795918,0.102040816,0.979591837,0.204081633,0.948979592,0.306122449,0.918367347,0.397959184,0.867346939,0.489795918,0.795918367,0.571428571,0.714285714,0.642857143,0.62244898,0.704081633,"b"
0.510869565,0.77173913,0,0,0,0.108695652,0.010869565,0.217391304,0.032608696,0.326086957,0.076086957,0.434782609,0.130434783,0.532608696,0.206521739,0.608695652,0.293478261,0.684782609,0.391304348,0.75,1,-0.010869565,1,0.097826087,0.989130435,0.206521739,0.97826087,0.326086957,0.934782609,0.423913043,0.880434783,0.52173913,0.815217391,0.608695652,0.72826087,0.684782609,0.641304348,0.739130435,"b"
0.517482517,0.776223776,0,0,0.006993007,0.111888112,0.020979021,0.223776224,0.041958042,0.328671329,0.076923077,0.433566434,0.132867133,0.531468531,0.20979021,0.615384615,0.293706294,0.692307692,0.391608392,0.755244755,1,0,0.993006993,0.111888112,0.979020979,0.216783217,0.958041958,0.321678322,0.923076923,0.426573427,0.874125874,0.517482517,0.804195804,0.601398601,0.727272727,0.685314685,0.636363636,0.748251748,"b"
0.505263158,0.810526316,0,0,0,0.115789474,0.010526316,0.231578947,0.031578947,0.347368421,0.063157895,0.452631579,0.115789474,0.557894737,0.189473684,0.642105263,0.273684211,0.726315789,0.378947368,0.789473684,1,-0.010526316,1,0.105263158,0.989473684,0.221052632,0.968421053,0.326315789,0.936842105,0.442105263,0.884210526,0.536842105,0.810526316,0.631578947,0.736842105,0.715789474,0.631578947,0.778947368,"a"
0.492957746,0.816901408,0,0,0.007042254,0.105633803,0.021126761,0.218309859,0.049295775,0.330985915,0.084507042,0.436619718,0.14084507,0.535211268,0.204225352,0.626760563,0.281690141,0.711267606,0.373239437,0.788732394,1,-0.007042254,0.985915493,0.112676056,0.971830986,0.218309859,0.943661972,0.330985915,0.908450704,0.436619718,0.852112676,0.542253521,0.781690141,0.633802817,0.711267606,0.718309859,0.61971831,0.788732394,"a"
